dataHora,ordem,linha,latitude,longitude,velocidade
04-27-2015 10:35:31,D87152,893,"-22.89226","-43.6441",17
04-27-2015 10:37:25,B55067,311,"-22.8764","-43.3224",7
04-27-2015 10:46:35,B60104,,"-22.8148","-43.3858",0
04-27-2015 10:55:01,D86099,,"-22.838835","-43.263981",5.19
04-27-2015 10:57:33,B42664,650,"-22.8726","-43.3391",0
04-27-2015 10:59:28,D86047,838,"-22.894377","-43.532322",0.37
04-27-2015 11:24:14,B71085,455,"-22.9031","-43.3136",0
04-27-2015 11:40:17,A29019,474,"-22.86833","-43.290871",0
04-27-2015 11:50:59,A41128,121,"-22.903303","-43.187874",39.82
04-27-2015 11:51:45,B63060,919,"-22.7935","-43.2952",26
04-27-2015 11:57:33,B58128,679,"-22.8382","-43.2846",16
04-27-2015 12:01:12,B63029,920,"-22.794","-43.2955",5
04-27-2015 12:06:14,A71596,409,"-22.930367","-43.254562",0.19
04-27-2015 12:14:42,D58561,379,"-22.830183","-43.348213",72.97
04-27-2015 12:19:29,B25826,,"-22.841","-43.2536",0
04-27-2015 12:31:00,B58184,679,"-22.8379","-43.2852",38
04-27-2015 12:31:38,A37752,,"-22.90226","-43.197071",0
04-27-2015 12:34:38,B58008,621,"-22.838","-43.2849",48
04-27-2015 12:34:43,B11617,773,"-22.8083","-43.3677",51.12
04-27-2015 12:42:34,B27071,639,"-22.8707","-43.2463",73
04-27-2015 12:44:07,B58112,622,"-22.8371","-43.2867",20
04-27-2015 12:58:23,C41879,2018,"-22.808846","-43.252956",0
04-27-2015 13:00:01,A72133,143,"-22.956589","-43.198597",0
04-27-2015 13:08:39,B63097,919,"-22.8557","-43.2589",25
04-27-2015 13:12:14,B10159,,"-22.8144","-43.1874",0
04-27-2015 13:13:20,C42562,667,"-22.876801","-43.329899",0
04-27-2015 13:14:49,B63053,,"-22.8674","-43.2584",0
04-27-2015 13:20:28,B58024,623,"-22.8409","-43.2804",1
04-27-2015 13:21:26,B75515,,"-22.8311","-43.3242",7
04-27-2015 13:22:02,B75563,,"-22.8268","-43.3113",8
04-27-2015 13:31:49,B19553,SVB665,"-22.8089","-43.3433",11
04-27-2015 13:31:52,C44526,721,"-22.83633","-43.2892",32
04-27-2015 13:33:33,B58709,725,"-22.865","-43.359",41.3
04-27-2015 13:34:03,D53584,,"-22.88382","-43.49485",0
04-27-2015 13:38:46,B44693,,"-22.8812","-43.3251",22
04-27-2015 13:46:27,C30126,,"-22.896996","-43.359158",22
04-27-2015 13:46:44,B19537,377,"-22.8103","-43.3426",0
04-27-2015 13:49:18,B11704,773,"-22.8346","-43.3758",0
04-27-2015 13:52:45,B58007,621,"-22.8378","-43.2853",30
04-27-2015 13:53:21,B63001,920,"-22.794","-43.2954",17
04-27-2015 13:53:53,A55047,434,"-22.91032","-43.229729",65
04-27-2015 13:54:07,C42515,607,"-22.8766","-43.329899",0
04-27-2015 13:54:08,B11517,908,"-22.8668","-43.3559",0.93
04-27-2015 14:01:10,B63057,334,"-22.8702","-43.2447",52
04-27-2015 14:03:56,B58141,313,"-22.8389","-43.2834",30
04-27-2015 14:04:34,D53686,,"-22.882561","-43.495651",18
04-27-2015 14:05:18,B73078,SR350,"-22.8357","-43.326",28
04-27-2015 14:05:32,D53569,369,"-22.87406","-43.46833",0
04-27-2015 14:06:48,A29012,474,"-22.96866","-43.183929",0
04-27-2015 14:07:05,B63046,920,"-22.8422","-43.3361",37
04-27-2015 14:12:34,C42509,607,"-22.87641","-43.329441",1
04-27-2015 14:12:35,B58059,679,"-22.8388","-43.2836",33
04-27-2015 14:13:08,B55054,311,"-22.8702","-43.2683",0
04-27-2015 14:13:17,B58195,625,"-22.8372","-43.2867",46
04-27-2015 14:13:23,B27182,639,"-22.9135","-43.2644",23
04-27-2015 14:13:26,B32673,687,"-22.8992","-43.2787",0
04-27-2015 14:13:31,B71094,455,"-22.9023","-43.182",0
04-27-2015 14:13:55,D53614,,"-22.910431","-43.545078",18
04-27-2015 14:14:58,A72078,507,"-22.937853","-43.205933",25.19
04-27-2015 14:14:59,B42509,,"-22.8764","-43.3295",0
04-27-2015 14:16:27,A63527,107,"-22.87059","-43.24575",45
04-27-2015 14:16:53,D53530,,"-22.884069","-43.495621",0
04-27-2015 14:17:38,D53585,,"-22.882839","-43.495251",38
04-27-2015 14:24:15,A71599,409,"-22.960485","-43.20541",27.04
04-27-2015 14:27:29,A41371,132,"-22.874617","-43.241714",0.19
04-27-2015 14:29:51,A41343,132,"-22.915937","-43.174789",67.6
04-27-2015 14:31:41,D53601,,"-22.906321","-43.535229",12
04-27-2015 14:36:38,A72188,006,"-22.921631","-43.185379",10.93
04-27-2015 14:44:07,D87237,825,"-22.914631","-43.686611",2
04-27-2015 14:45:04,D53622,,"-22.88171","-43.498329",18
04-27-2015 14:53:33,D86074,852,"-22.901485","-43.554565",0
04-27-2015 14:56:22,C47884,LECD10,"-22.986324","-43.215382",0
04-27-2015 14:57:29,A41856,2014,"-22.87067","-43.249538",0
04-27-2015 14:58:49,C50029,301,"-22.929335","-43.253868",0
04-27-2015 15:14:26,D53596,,"-22.88348","-43.495319",0
04-27-2015 15:15:25,C41385,,"-22.858231","-43.24538",0
04-27-2015 15:17:01,C51578,371,"-22.901386","-43.347267",0
04-27-2015 15:17:09,C41387,,"-22.85791","-43.245251",0
04-27-2015 15:24:20,A41858,2014,"-22.870817","-43.249386",0.19
04-27-2015 15:25:45,C41028,,"-22.857901","-43.245209",0
04-27-2015 15:28:30,A55057,,"-22.90597","-43.260872",0
04-27-2015 15:35:51,A41006,,"-22.874634","-43.241089",0
04-27-2015 15:42:31,A41011,170,"-22.887911","-43.22319",70.56
04-27-2015 15:42:49,A41826,2015,"-22.906811","-43.174713",2.59
04-27-2015 15:45:03,A71589,409,"-22.926031","-43.254101",10.56
04-27-2015 15:48:52,A41819,,"-22.898146","-43.177406",45.93
04-27-2015 15:50:24,A50131,603,"-22.946444","-43.257015",0
04-27-2015 15:53:30,A29156,474,"-22.894859","-43.255939",0
04-27-2015 15:56:51,A48143,411,"-22.908762","-43.172222",1.11
04-27-2015 15:57:10,A55125,,"-22.80415","-43.341499",7
04-27-2015 15:57:21,A48164,426,"-22.95509","-43.180676",12.78
04-27-2015 16:04:40,C13026,338,"-22.905907","-43.193317",8
04-27-2015 16:07:21,A48149,,"-22.857405","-43.371147",0.19
